kIncohJpsiToMu:      	pass1 	pass3 	ratio 
After previous cuts: 	650282	671565	0.968
4) CCUP31 trigger:   	117988	122183	0.966
5a) ADA offline veto:	117988	122183	0.966
5b) ADC offline veto:	117988	122183	0.966
6a) V0A offline veto:	117986	122182	0.966
6b) V0C offline veto:	117979	122178	0.966
7) SPD match FOhits: 	116746	120800	0.966
8) muon pairs only:  	49721	41469	1.199
9) dilept |y| < 0.8: 	49353	41112	1.200
10) trks |eta| < 0.8: 	43466	35918	1.210
11) opposite charges:	43466	35918	1.210
12) mass 2.2 to 4.5: 	43466	35918	1.210
13) dimuon pt > 0.2: 	35109	29089	1.207
14) mass 3.0 to 3.2: 	35022	29014	1.207
